random, greedy_1, greedy_2, greedy_3_true, greedy_3_fals
['Geo_n240_ss_09.txt', 378893.21700000006, 380510.04400000005, 378680.336, 387970.74100000004, 345946.941]
['Geo_n240_ss_10.txt', 331146.612, 329940.036, 329740.189, 336151.051, 291763.72699999996]
['Geo_n480_ds_01.txt', 541695.8280000001, 550045.8330000002, 551585.2989999999, 558031.531, 398052.29999999993]
['Geo_n480_ds_02.txt', 1035235.8720000002, 1058735.8110000002, 1060252.0, 1055678.3949999998, 927292.58]
['Geo_n480_ds_03.txt', 629576.149, 634130.7120000002, 631730.636, 638493.068, 476270.54500000004]
['Geo_n480_ds_04.txt', 781578.724, 799108.004, 798551.0179999999, 797393.187, 664167.3709999999]
['Geo_n480_ds_05.txt', 937450.947, 959693.9410000001, 957407.11, 957605.7399999999, 824059.231]
['Geo_n480_ds_06.txt', 974287.7490000001, 984952.9689999998, 983309.2669999996, 980461.5669999999, 842836.347]
['Geo_n480_ds_07.txt', 820900.5979999999, 839430.2960000001, 837975.335, 843393.27, 687380.448]
['Geo_n480_ds_08.txt', 553402.66, 553832.1410000001, 554461.142, 565953.9630000001, 390453.10900000005]
['Geo_n480_ds_09.txt', 629536.309, 634770.827, 637251.759, 640890.1529999999, 486626.28799999994]
['Geo_n480_ds_10.txt', 886141.7740000001, 896637.878, 894979.3179999999, 908048.217, 765207.569]
['Geo_n480_ss_01.txt', 536188.766, 526826.833, 532865.8979999999, 544265.7779999999, 387924.11999999994]
['Geo_n480_ss_02.txt', 1024032.8750000001, 1024849.4370000002, 1022889.5970000002, 1041210.086, 919676.8339999999]
['Geo_n480_ss_03.txt', 616648.923, 613193.663, 612610.8599999999, 625747.773, 478646.63600000006]
['Geo_n480_ss_04.txt', 772048.2289999999, 769381.2479999999, 764524.0739999999, 780568.7629999998, 662143.476]
['Geo_n480_ss_05.txt', 924935.5979999999, 924088.1849999998, 919782.389, 938772.5760000001, 818632.3979999999]
['Geo_n480_ss_06.txt', 946761.3649999999, 943257.0140000002, 941097.6539999999, 960482.4990000001, 838702.2119999999]
['Geo_n480_ss_07.txt', 810358.9970000001, 807438.4580000002, 804095.0510000001, 821369.9390000001, 682068.212]
['Geo_n480_ss_08.txt', 542679.092, 534915.638, 530938.045, 546416.787, 387007.82899999997]
['Geo_n480_ss_09.txt', 620481.1329999998, 614579.7750000001, 617373.7289999999, 627919.065, 484195.415]
['Geo_n480_ss_10.txt', 861305.5609999999, 862551.3859999999, 859831.541, 877142.904, 758667.84]
['Geo_n960_ds_01.txt', 3247222.6169999996, 3271620.866, 3270444.6750000007, 3293700.297, 2846005.501]
['Geo_n960_ds_02.txt', 1642426.7340000002, 1656731.84, 1647101.1220000002, 1644891.4160000004, 1089723.103]
['Geo_n960_ds_03.txt', 3228892.3730000006, 3277602.8280000007, 3271662.581, 3276565.002000001, 2831125.7079999996]
['Geo_n960_ds_04.txt', 3503305.3599999994, 3514537.8440000005, 3515590.2159999995, 3551604.7890000003, 3102889.5690000006]
['Geo_n960_ds_05.txt', 2256881.9409999996, 2277487.6130000004, 2274351.3809999996, 2268042.9169999994, 1759520.3380000005]
['Geo_n960_ds_06.txt', 3047192.496, 3076596.2339999997, 3075088.034, 3083314.865, 2646646.658]
['Geo_n960_ds_07.txt', 1256001.8480000002, 1221727.3490000002, 1231205.0700000003, 1235016.027, 728987.5750000001]
['Geo_n960_ds_08.txt', 1662322.698, 1648595.5369999998, 1652291.5630000003, 1650759.3850000002, 1087093.5529999998]
['Geo_n960_ds_09.txt', 1835044.6879999996, 1831026.7230000005, 1833883.7020000003, 1827285.592, 1263386.8100000003]
['Geo_n960_ds_10.txt', 2518008.2180000003, 2541901.051, 2542419.687999999, 2542346.5130000003, 2067470.4130000004]
['Geo_n960_ss_01.txt', 3214031.8450000007, 3199518.8049999997, 3196471.5799999996, 3239669.372, 2833474.898]
['Geo_n960_ss_02.txt', 1630045.5729999999, 1611800.383, 1603442.8699999994, 1626931.9149999998, 1093578.6630000002]
['Geo_n960_ss_03.txt', 3209336.397, 3196350.477, 3195898.8030000003, 3235222.7540000007, 2833191.737]
['Geo_n960_ss_04.txt', 3459993.574, 3463372.695, 3461832.949, 3498966.0450000004, 3092403.192]
['Geo_n960_ss_05.txt', 2230674.829, 2214366.2839999995, 2211907.083, 2244113.2989999996, 1758794.4189999998]
['Geo_n960_ss_06.txt', 3028105.431000001, 3014057.622, 3009037.0589999994, 3053023.2689999994, 2636654.7539999997]
['Geo_n960_ss_07.txt', 1232324.2700000005, 1181804.2040000001, 1187050.1149999998, 1209293.156, 735505.8430000001]
['Geo_n960_ss_08.txt', 1642821.8360000001, 1616103.667, 1622529.048, 1645587.832, 1056135.263]
['Geo_n960_ss_09.txt', 1806523.2230000002, 1786538.9869999997, 1788790.64, 1812469.8300000003, 1248400.7010000001]
['Geo_n960_ss_10.txt', 2489476.3879999993, 2475125.7550000004, 2474975.3959999997, 2509595.794, 2052865.658]
['RanInt_n010_ds_01.txt', 923.0, 1094.0, 1056.0, 1099.0, 881.0]
['RanInt_n010_ds_02.txt', 1134.0, 1183.0, 1084.0, 1198.0, 1025.0]
['RanInt_n010_ds_03.txt', 1123.0, 1102.0, 1094.0, 1194.0, 1014.0]
['RanInt_n010_ds_04.txt', 900.0, 1172.0, 1058.0, 1063.0, 729.0]
['RanInt_n010_ds_05.txt', 902.0, 1218.0, 1054.0, 1189.0, 719.0]
['RanInt_n010_ds_06.txt', 800.0, 924.0, 975.0, 1110.0, 899.0]
['RanInt_n010_ds_07.txt', 1015.0, 1005.0, 987.0, 1075.0, 736.0]
['RanInt_n010_ds_08.txt', 935.0, 911.0, 959.0, 1180.0, 726.0]
['RanInt_n010_ds_09.txt', 998.0, 1188.0, 1009.0, 1164.0, 979.0]
['RanInt_n010_ds_10.txt', 908.0, 1155.0, 1268.0, 948.0, 728.0]
['RanInt_n010_ss_01.txt', 1091.0, 1149.0, 1015.0, 1026.0, 881.0]
['RanInt_n010_ss_02.txt', 1101.0, 1183.0, 1084.0, 1198.0, 1025.0]
['RanInt_n010_ss_03.txt', 1079.0, 1102.0, 1094.0, 1194.0, 1014.0]
['RanInt_n010_ss_04.txt', 1033.0, 1143.0, 973.0, 1063.0, 795.0]
['RanInt_n010_ss_05.txt', 1069.0, 1074.0, 857.0, 1189.0, 719.0]
['RanInt_n010_ss_06.txt', 886.0, 924.0, 975.0, 1110.0, 899.0]
['RanInt_n010_ss_07.txt', 833.0, 1005.0, 987.0, 1068.0, 736.0]
['RanInt_n010_ss_08.txt', 995.0, 911.0, 959.0, 1180.0, 726.0]
['RanInt_n010_ss_09.txt', 1249.0, 1188.0, 1009.0, 1164.0, 979.0]
['RanInt_n010_ss_10.txt', 785.0, 984.0, 935.0, 948.0, 728.0]
['RanInt_n012_ds_01.txt', 824.0, 788.0, 559.0, 969.0, 545.0]
['RanInt_n012_ds_02.txt', 593.0, 827.0, 569.0, 855.0, 349.0]
['RanInt_n012_ds_03.txt', 538.0, 692.0, 814.0, 778.0, 446.0]
['RanInt_n012_ds_04.txt', 948.0, 703.0, 656.0, 951.0, 394.0]
['RanInt_n012_ds_05.txt', 938.0, 1068.0, 817.0, 975.0, 360.0]
['RanInt_n012_ds_06.txt', 858.0, 789.0, 743.0, 615.0, 237.0]
['RanInt_n012_ds_07.txt', 590.0, 1160.0, 857.0, 875.0, 359.0]
['RanInt_n012_ds_08.txt', 561.0, 888.0, 621.0, 970.0, 401.0]
['RanInt_n012_ds_09.txt', 770.0, 586.0, 695.0, 1043.0, 503.0]
['RanInt_n012_ds_10.txt', 627.0, 574.0, 667.0, 956.0, 190.0]
['RanInt_n012_ss_01.txt', 782.0, 699.0, 633.0, 892.0, 544.0]
['RanInt_n012_ss_02.txt', 707.0, 790.0, 560.0, 855.0, 344.0]
['RanInt_n012_ss_03.txt', 703.0, 692.0, 814.0, 778.0, 446.0]
['RanInt_n012_ss_04.txt', 608.0, 745.0, 626.0, 802.0, 393.0]
['RanInt_n012_ss_05.txt', 498.0, 717.0, 474.0, 946.0, 360.0]
['RanInt_n012_ss_06.txt', 661.0, 652.0, 661.0, 672.0, 237.0]
['RanInt_n012_ss_07.txt', 457.0, 706.0, 530.0, 875.0, 319.0]
['RanInt_n012_ss_08.txt', 541.0, 681.0, 518.0, 854.0, 372.0]
['RanInt_n012_ss_09.txt', 467.0, 795.0, 500.0, 890.0, 487.0]
['RanInt_n012_ss_10.txt', 385.0, 631.0, 656.0, 888.0, 185.0]
['RanInt_n030_ds_01.txt', 4168.0, 4522.0, 4019.0, 4706.0, 2729.0]
['RanInt_n030_ds_02.txt', 4287.0, 4166.0, 4137.0, 5490.0, 2362.0]
['RanInt_n030_ds_03.txt', 3603.0, 3669.0, 4058.0, 5212.0, 2378.0]
['RanInt_n030_ds_04.txt', 4175.0, 3567.0, 3545.0, 4981.0, 2282.0]
['RanInt_n030_ds_05.txt', 4179.0, 4723.0, 4564.0, 5480.0, 2760.0]
['RanInt_n030_ds_06.txt', 4064.0, 4134.0, 3730.0, 4843.0, 2091.0]
['RanInt_n030_ds_07.txt', 4269.0, 4098.0, 4130.0, 4922.0, 2613.0]
['RanInt_n030_ds_08.txt', 4316.0, 4021.0, 3570.0, 4671.0, 2656.0]
['RanInt_n030_ds_09.txt', 4828.0, 4041.0, 3801.0, 5136.0, 2762.0]
['RanInt_n030_ds_10.txt', 4737.0, 4269.0, 4083.0, 5046.0, 2220.0]
['RanInt_n030_ss_01.txt', 4548.0, 3864.0, 3752.0, 4697.0, 2715.0]
['RanInt_n030_ss_02.txt', 4016.0, 4077.0, 3587.0, 5420.0, 2481.0]
['RanInt_n030_ss_03.txt', 3807.0, 3825.0, 4053.0, 4880.0, 2614.0]
['RanInt_n030_ss_04.txt', 3202.0, 3364.0, 3233.0, 4813.0, 2328.0]
['RanInt_n030_ss_05.txt', 3748.0, 4328.0, 4140.0, 4851.0, 2672.0]
['RanInt_n030_ss_06.txt', 3401.0, 4325.0, 3556.0, 4524.0, 2296.0]
['RanInt_n030_ss_07.txt', 3573.0, 3783.0, 3471.0, 4752.0, 2496.0]
['RanInt_n030_ss_08.txt', 3745.0, 3940.0, 3617.0, 4533.0, 2380.0]
['RanInt_n030_ss_09.txt', 3941.0, 3960.0, 3902.0, 5112.0, 2595.0]
['RanInt_n030_ss_10.txt', 3856.0, 3368.0, 3849.0, 4947.0, 2376.0]
['RanInt_n060_ds_01.txt', 15100.0, 14748.0, 13694.0, 17786.0, 9745.0]
['RanInt_n060_ds_02.txt', 13198.0, 14430.0, 13904.0, 17736.0, 9365.0]
['RanInt_n060_ds_03.txt', 14276.0, 15763.0, 14010.0, 17395.0, 9228.0]
['RanInt_n060_ds_04.txt', 14397.0, 14468.0, 13682.0, 18385.0, 9046.0]
['RanInt_n060_ds_05.txt', 14238.0, 14316.0, 14651.0, 17421.0, 9637.0]
['RanInt_n060_ds_06.txt', 14361.0, 14456.0, 14369.0, 17003.0, 9603.0]
['RanInt_n060_ds_07.txt', 14968.0, 14189.0, 13805.0, 17223.0, 9892.0]
['RanInt_n060_ds_08.txt', 13976.0, 13880.0, 13586.0, 17778.0, 9537.0]
['RanInt_n060_ds_09.txt', 14475.0, 14337.0, 14300.0, 17873.0, 9467.0]
['RanInt_n060_ds_10.txt', 13684.0, 15254.0, 14226.0, 17664.0, 9475.0]
['RanInt_n060_ss_01.txt', 14206.0, 13988.0, 13489.0, 17547.0, 9818.0]
['RanInt_n060_ss_02.txt', 13706.0, 13274.0, 12860.0, 17446.0, 9353.0]
['RanInt_n060_ss_03.txt', 13039.0, 14439.0, 12609.0, 17161.0, 9233.0]
['RanInt_n060_ss_04.txt', 12792.0, 13646.0, 13250.0, 17458.0, 9268.0]
['RanInt_n060_ss_05.txt', 13283.0, 14295.0, 14056.0, 17185.0, 9730.0]
['RanInt_n060_ss_06.txt', 13049.0, 13327.0, 12949.0, 16771.0, 9589.0]
['RanInt_n060_ss_07.txt', 13652.0, 14980.0, 13526.0, 16993.0, 9801.0]
['RanInt_n060_ss_08.txt', 14298.0, 13774.0, 13707.0, 17027.0, 9515.0]
['RanInt_n060_ss_09.txt', 13043.0, 13879.0, 13590.0, 17386.0, 9686.0]
['RanInt_n060_ss_10.txt', 13253.0, 14087.0, 13382.0, 16876.0, 9406.0]
['RanInt_n120_ds_01.txt', 34806.0, 36839.0, 34998.0, 44497.0, 22327.0]
['RanInt_n120_ds_02.txt', 33413.0, 36467.0, 34223.0, 44986.0, 23434.0]
['RanInt_n120_ds_03.txt', 35332.0, 35970.0, 35019.0, 44839.0, 22735.0]
['RanInt_n120_ds_04.txt', 35278.0, 36073.0, 33536.0, 44843.0, 23021.0]
['RanInt_n120_ds_05.txt', 34956.0, 36444.0, 34982.0, 44137.0, 22100.0]
['RanInt_n120_ds_06.txt', 34468.0, 36156.0, 33672.0, 44411.0, 21501.0]
['RanInt_n120_ds_07.txt', 34646.0, 35715.0, 34995.0, 43803.0, 22393.0]
['RanInt_n120_ds_08.txt', 33657.0, 35218.0, 33114.0, 44266.0, 22387.0]
['RanInt_n120_ds_09.txt', 34661.0, 35807.0, 35577.0, 44601.0, 22091.0]
['RanInt_n120_ds_10.txt', 34892.0, 37227.0, 34947.0, 43993.0, 23188.0]
['RanInt_n120_ss_01.txt', 33428.0, 34846.0, 32338.0, 43427.0, 22411.0]
['RanInt_n120_ss_02.txt', 32842.0, 35824.0, 32851.0, 43324.0, 22943.0]
['RanInt_n120_ss_03.txt', 32947.0, 34942.0, 33192.0, 43287.0, 23304.0]
['RanInt_n120_ss_04.txt', 32947.0, 35510.0, 34665.0, 44187.0, 22592.0]
['RanInt_n120_ss_05.txt', 32341.0, 34142.0, 32629.0, 43157.0, 21850.0]
['RanInt_n120_ss_06.txt', 32568.0, 33919.0, 32094.0, 43470.0, 21699.0]
['RanInt_n120_ss_07.txt', 32326.0, 34423.0, 34122.0, 42349.0, 22318.0]
['RanInt_n120_ss_08.txt', 32562.0, 35031.0, 32849.0, 43495.0, 22615.0]
['RanInt_n120_ss_09.txt', 33921.0, 35260.0, 33416.0, 43766.0, 22165.0]
['RanInt_n120_ss_10.txt', 33542.0, 35598.0, 33394.0, 43059.0, 22944.0]
['RanInt_n240_ds_01.txt', 114612.0, 119809.0, 116461.0, 144866.0, 83195.0]
['RanInt_n240_ds_02.txt', 116247.0, 121463.0, 117416.0, 145737.0, 83567.0]
['RanInt_n240_ds_03.txt', 115254.0, 119610.0, 116517.0, 145897.0, 83089.0]
['RanInt_n240_ds_04.txt', 117847.0, 123106.0, 120271.0, 147225.0, 84331.0]
['RanInt_n240_ds_05.txt', 116803.0, 121782.0, 117442.0, 145780.0, 84394.0]
['RanInt_n240_ds_06.txt', 116768.0, 120416.0, 116910.0, 148327.0, 83358.0]
['RanInt_n240_ds_07.txt', 113638.0, 121261.0, 116443.0, 145623.0, 83626.0]
['RanInt_n240_ds_08.txt', 117611.0, 119957.0, 116946.0, 145388.0, 82480.0]
['RanInt_n240_ds_09.txt', 117175.0, 119651.0, 117605.0, 148682.0, 82680.0]
